iter	Passed	Remaining
0	6	6292
1	11	5963
2	17	5804
3	23	5743
4	29	5842
5	35	5827
6	41	5852
7	46	5784
8	50	5574
9	56	5569
10	61	5568
11	67	5541
12	74	5635
13	82	5785
14	88	5781
15	94	5792
16	100	5815
17	106	5815
18	112	5810
19	119	5831
20	125	5851
21	131	5857
22	138	5863
23	143	5855
24	150	5860
25	156	5856
26	162	5846
27	168	5850
28	174	5837
29	180	5843
30	186	5824
31	192	5810
32	198	5818
33	204	5816
34	210	5796
35	217	5818
36	223	5810
37	229	5803
38	235	5795
39	241	5799
40	247	5798
41	253	5786
42	259	5776
43	265	5764
44	271	5753
45	277	5747
46	282	5733
47	288	5727
48	294	5712
49	299	5699
50	303	5644
51	309	5642
52	314	5627
53	320	5619
54	326	5612
55	332	5605
56	338	5607
57	344	5602
58	350	5595
59	356	5592
60	362	5581
61	368	5578
62	374	5568
63	380	5568
64	386	5565
65	392	5558
66	398	5547
67	404	5545
68	410	5540
69	416	5538
70	423	5540
71	429	5533
72	435	5531
73	441	5526
74	447	5519
75	453	5515
76	459	5509
77	465	5501
78	470	5489
79	476	5480
80	482	5473
81	488	5468
82	494	5461
83	500	5455
84	506	5448
85	512	5444
86	518	5437
87	524	5434
88	530	5427
89	536	5423
90	542	5420
91	548	5414
92	555	5413
93	561	5409
94	567	5409
95	573	5404
96	579	5398
97	586	5396
98	591	5386
99	597	5377
100	605	5390
101	612	5391
102	618	5388
103	624	5379
104	630	5372
105	636	5370
106	642	5363
107	648	5357
108	654	5349
109	660	5344
110	666	5340
111	672	5334
112	679	5336
113	689	5355
114	694	5345
115	700	5338
116	706	5334
117	713	5330
118	718	5322
119	724	5315
120	730	5308
121	736	5302
122	743	5299
123	749	5293
124	755	5290
125	761	5281
126	767	5276
127	773	5269
128	779	5263
129	785	5257
130	791	5251
131	797	5243
132	803	5234
133	808	5224
134	814	5219
135	820	5213
136	826	5206
137	833	5203
138	838	5196
139	844	5189
140	851	5185
141	857	5179
142	863	5174
143	869	5167
144	875	5162
145	881	5157
146	887	5152
147	895	5154
148	901	5146
149	907	5142
150	913	5138
151	920	5132
152	927	5132
153	934	5131
154	940	5127
155	947	5127
156	954	5126
157	962	5126
158	971	5137
159	977	5134
160	984	5132
161	992	5131
162	998	5128
163	1005	5126
164	1013	5126
165	1020	5124
166	1026	5120
167	1033	5118
168	1040	5115
169	1047	5115
170	1054	5109
171	1061	5112
172	1071	5120
173	1077	5116
174	1084	5112
175	1091	5110
176	1098	5106
177	1104	5102
178	1111	5098
179	1117	5091
180	1124	5086
181	1130	5080
182	1135	5071
183	1141	5064
184	1147	5055
185	1153	5048
186	1159	5042
187	1166	5039
188	1172	5031
189	1178	5023
190	1184	5019
191	1191	5013
192	1198	5010
193	1205	5006
194	1211	5001
195	1218	4998
196	1225	4995
197	1232	4992
198	1241	4997
199	1250	5001
200	1261	5013
201	1270	5020
202	1279	5025
203	1287	5023
204	1294	5020
205	1301	5017
206	1308	5010
207	1313	5002
208	1319	4993
209	1325	4986
210	1331	4979
211	1337	4972
212	1344	4966
213	1349	4958
214	1356	4952
215	1362	4946
216	1368	4938
217	1374	4932
218	1381	4926
219	1388	4921
220	1394	4915
221	1400	4907
222	1406	4901
223	1412	4894
224	1419	4889
225	1424	4880
226	1430	4872
227	1437	4865
228	1443	4858
229	1449	4852
230	1455	4845
231	1461	4839
232	1468	4832
233	1473	4824
234	1480	4818
235	1485	4810
236	1491	4802
237	1497	4795
238	1503	4787
239	1509	4779
240	1515	4771
241	1521	4765
242	1527	4760
243	1534	4753
244	1540	4745
245	1545	4738
246	1551	4730
247	1557	4723
248	1563	4715
249	1569	4709
250	1575	4701
251	1581	4695
252	1588	4689
253	1593	4680
254	1599	4673
255	1607	4672
256	1614	4667
257	1621	4663
258	1628	4658
259	1635	4653
260	1641	4647
261	1648	4642
262	1654	4636
263	1661	4631
264	1668	4627
265	1674	4620
266	1683	4622
267	1691	4619
268	1697	4611
269	1703	4604
270	1709	4597
271	1715	4590
272	1721	4583
273	1727	4577
274	1733	4571
275	1740	4565
276	1746	4557
277	1752	4550
278	1758	4543
279	1764	4537
280	1770	4529
281	1775	4521
282	1782	4515
283	1788	4509
284	1794	4502
285	1801	4498
286	1807	4490
287	1814	4484
